;layer;target_rank;mean_reward;std_reward;mean_reward_delta;std_reward_delta
0;0;1;48.44208383267716;106.40129204181343;-5017.619150454255;-327.0032756433834
1;0;2;917.2861069286685;287.25545947740665;-4148.7751273582635;-146.14910820779022
2;0;3;2.002816473415005;0.27021676064343003;-5064.058417813517;-433.1343509245534
3;0;4;13.327442653544713;1.7254515839963394;-5052.733791633387;-431.6791161012005
4;0;5;49.36938820441748;99.04580455399405;-5016.6918460825145;-334.3587631312028
5;0;6;-1.5374674255412537;0.36442392268940976;-5067.598701712473;-433.04014376250745
6;0;7;-2.8940060022473335;0.10575886377903781;-5068.955240289179;-433.2988088214178
7;0;8;189.01364685302426;156.23316098739076;-4877.047587433907;-277.1714066978061
8;0;9;160.5909815402188;187.7388030409263;-4905.4702527467125;-245.66576464427055
9;0;10;273.27270394192715;214.24704552598703;-4792.788530345005;-219.15752215920983
10;0;11;90.9763049577504;156.60563245383955;-4975.084929329181;-276.7989352313573
11;0;12;223.58127525325108;513.9189899957732;-4842.479959033681;80.51442231057638
12;0;13;1612.3687808912891;1356.5321993280888;-3453.6924533956426;923.127631642892
13;0;14;3680.1265715067457;1396.5293748257898;-1385.934662780186;963.1248071405929
14;0;15;2466.6535450523015;1512.8134454024835;-2599.40768923463;1079.4088777172865
15;0;16;4856.655136288382;398.44549783083704;-209.40609799854974;-34.959069854359825
16;0;17;5118.109329958905;81.25318276256449;52.04809567197299;-352.15138492263236
17;2;1;-3.7409498636983334;0.04405937498115221;-5069.80218415063;-433.3605083102157
18;2;26;-2.050477905794978;0.08107546818973664;-5068.111712192726;-433.32349221700713
19;2;51;-1.4112543050918611;0.5037607936801047;-5067.472488592023;-432.90080689151677
20;2;76;942.2563742912567;334.4563833901422;-4123.804859995675;-98.94818429505466
21;2;101;2074.030528175822;1044.3344415434676;-2992.03070611111;610.9298738582708
22;2;126;-1.8999103679507972;0.10247836799007247;-5067.961144654882;-433.3020893172068
23;2;151;3051.5591548987263;2347.5907774335706;-2014.5020793882054;1914.1862097483736
24;2;176;4495.249092471635;1653.1748941438293;-570.8121418152969;1219.7703264586326
25;2;201;4937.585665668907;876.0064615327871;-128.47556861802514;442.6018938475902
26;2;226;5107.292664276451;86.372224555562;41.23142998951971;-347.03234312963485
27;2;251;5074.496559139783;493.4517830893351;8.435324852851409;60.04721540413823
